tweet_id,created_at,text,retweet_count,quote_count,reply_count,favorite_count
1419655572660555779,Mon Jul 26 13:47:19 +0000 2021,"https://t.co/mMDDQDHdhY
UPND Warns Party Officials Against Fielding Inefficient Polling Agents https://t.co/IfVtNc5pBy",1,0,0,2
1419652156613922818,Mon Jul 26 13:33:44 +0000 2021,"https://t.co/cpof4A6NFW
Davies Mwila urges PF members to help garner more votes in party strongholds https://t.co/dWqFo2oMRd",0,1,0,1
1419651181878579202,Mon Jul 26 13:29:52 +0000 2021,"https://t.co/G8B3zauaGu
Mealie meal export on course, says Millers Association of Zambia https://t.co/nOMlwBxsw5",0,0,0,1
1419650482008694785,Mon Jul 26 13:27:05 +0000 2021,"https://t.co/UW0t0Ivr22
Child protection committee rescues two sisters from forced marriage https://t.co/i9OZcjgjvx",0,0,0,3
1419649123674886144,Mon Jul 26 13:21:41 +0000 2021,"https://t.co/9Ukb1A05qV
ECZ puts in place security measures to protect votes-Nshindano https://t.co/JubqIxLM5y",3,1,6,16
1419541822628581382,Mon Jul 26 06:15:18 +0000 2021,"https://t.co/YjMuo3MFXs
HH's North Western Province Rally in Pictures https://t.co/XM3XTW2kHB",1,0,2,16
1419507977166499840,Mon Jul 26 04:00:49 +0000 2021,"https://t.co/fVgaKiJdJ5
President Lungu has shown true leadership-GBM https://t.co/y0Ftxyd8R1",0,0,8,3
1419501954963841026,Mon Jul 26 03:36:53 +0000 2021,"https://t.co/8JhW1EDM5v
Kwacha gains, significant-Financial Analysts https://t.co/AVvYAQgOyc",0,1,0,9
1419501278640619520,Mon Jul 26 03:34:12 +0000 2021,"https://t.co/bB3MpI4HZr
Endorsement: Hakainde Hichilema for President https://t.co/whA4ANiDAv",0,0,0,13
1419387117428477952,Sun Jul 25 20:00:34 +0000 2021,"https://t.co/lrFewNGsiB
Fashion Sakala Scores to Spark Rangers Victory Over Real Madrid",0,0,1,16
1419319467784421382,Sun Jul 25 15:31:45 +0000 2021,"https://t.co/QXAzWUFBM8
PF accuse UPND of trying to force a Government of National Unity by causing Violence https://t.co/ZZTpI7VS38",1,0,7,8
1419310774619676672,Sun Jul 25 14:57:12 +0000 2021,"https://t.co/U7QvmNAvin
New Covid Cases Continue trending down, 544 new cases recorded in last 24 hours https://t.co/w7fLQcXG3T",0,1,2,3
1419308022791348226,Sun Jul 25 14:46:16 +0000 2021,"https://t.co/5doMCkURWt
Nkandu Luo says Zambians have made up their mind to vote for PF, and wonders where  UPND is… https://t.co/tEZBjtVw1t",3,3,11,15
1419291739702108168,Sun Jul 25 13:41:34 +0000 2021,"https://t.co/Um3zfSueBY
The “Debt Swap” Initiative Is a Sham! https://t.co/VZGw9zzD3K",1,0,0,1
1419284295345188866,Sun Jul 25 13:11:59 +0000 2021,"https://t.co/7gNjFTrPZz
Low interest in voter education worries AVAP https://t.co/ctPtuNKbsg",0,0,0,4
1419279033519509510,Sun Jul 25 12:51:05 +0000 2021,"https://t.co/NsUO5Jx4tx
Zambia Railways transport 1 million  tonnes of cargo in 2020 https://t.co/oxgKGKGpVz",1,0,1,2
1419278480785690629,Sun Jul 25 12:48:53 +0000 2021,"https://t.co/qpJxYuHSNv
Ndola has enough land for  burial sites-Council to last 10 years https://t.co/HpVWQLujsy",0,0,1,0
1419205689931616261,Sun Jul 25 07:59:38 +0000 2021,"https://t.co/0C7VH5CPCv
Barbara Banda: Shepolopolo Is On The Rise",0,0,0,2
1419167715198124032,Sun Jul 25 05:28:44 +0000 2021,"https://t.co/I71QLDY7qw
Majority of Zambians are wallowing in abject poverty because PF has lamentably failed to go… https://t.co/Xjl7g99kW6",0,0,2,5
1419167241090867202,Sun Jul 25 05:26:51 +0000 2021,"https://t.co/9JySCVrXbI
Bank of Zambia Issues Statement on the recent  Kwacha Appreciation https://t.co/pJbp8KRLHm",7,1,2,46
1419164236908015622,Sun Jul 25 05:14:55 +0000 2021,"https://t.co/nOOh1I71aV
PF says it is not happy with the conduct of Inspector General of Police Kakoma Kanganja https://t.co/7o8FW2hNCC",2,0,7,9
1419163501126463490,Sun Jul 25 05:12:00 +0000 2021,"https://t.co/wVG54Aydpv
President Edgar Lungu has propelled Muchinga province beyond imagination-Captain Davison Mu… https://t.co/9SDllucYWL",0,0,3,2
1419162884270088192,Sun Jul 25 05:09:33 +0000 2021,"https://t.co/qnPf7z5WjK
750 Megawatts Kafue Gorge Lower Hydro-Power Station: Who gets the Credit? https://t.co/GHLN88sPeg",1,2,1,8
1419161228161736705,Sun Jul 25 05:02:58 +0000 2021,"https://t.co/47h3NTON2u
UPND is not interested in fighting with anyone, but  ensure that the party forms government… https://t.co/0o5HGe2Hk7",2,0,2,11
1418966099291480076,Sat Jul 24 16:07:35 +0000 2021,"https://t.co/dqlD22q800
Boxer Zimba Makes Flying Olympics Start",1,0,1,4
1418915600441696266,Sat Jul 24 12:46:55 +0000 2021,"https://t.co/ZFNL0OivF9
Shepolopolo Earn Draw Against Lucky China",0,0,0,0
1418913936284454915,Sat Jul 24 12:40:19 +0000 2021,"https://t.co/DEyNVE8lWS
The real battle is between the opposition United Party for National Development (UPND) and… https://t.co/KifUDswUE7",0,0,0,3
1418912236257562634,Sat Jul 24 12:33:33 +0000 2021,"https://t.co/Rkohwt8kbR
Zambia is in safe hands under President Edgar Lungu-Luo https://t.co/DX9DcX7NZd",0,0,4,6
1418911076775866370,Sat Jul 24 12:28:57 +0000 2021,"https://t.co/B6TuZAlbdu
Fred M'membe on  the Wrong Diagnosis for Tribalism and  Regionalism in Zambia https://t.co/1MindJrgMY",0,0,0,1
1418909121110229001,Sat Jul 24 12:21:11 +0000 2021,"https://t.co/huBlXFPVAd
Chief Matipa counsels subjects on voter apathy https://t.co/NTClCDRNJr",0,0,0,0
1418908340768415756,Sat Jul 24 12:18:05 +0000 2021,"https://t.co/QdT4hDtfyK
National Olympic Committee of Zambia defends Tilka after attacks over her nationality https://t.co/hxak1qja86",0,2,4,19
1418808210698420227,Sat Jul 24 05:40:12 +0000 2021,"https://t.co/6v6aG9gG7q
Government happy with UNZA's  Agriculture Technology Demonstration Centre https://t.co/VqSVU07l78",0,0,0,3
1418806289828917254,Sat Jul 24 05:32:34 +0000 2021,"https://t.co/GLDR8IuFoI
President  Lungu  commends  traditional leadership for supporting the Kafue Gorge Lower Pow… https://t.co/fMUBI70bm2",1,0,0,5
1418803244244119554,Sat Jul 24 05:20:28 +0000 2021,"https://t.co/F5mXRa3kG3
President  Lungu has built on KK's infrastructure legacy and made Zambia a Power-hub in sou… https://t.co/Q8ZGQvNipY",0,1,1,5
1418802207273721862,Sat Jul 24 05:16:20 +0000 2021,"https://t.co/fWJvsAEXW5
The appreciation of the local currency  has nothing to do with HH- Antonio Mwanza https://t.co/hpYiwNkZDI",1,4,7,14
1418795801787129856,Sat Jul 24 04:50:53 +0000 2021,"https://t.co/7k7rPGAzlj
Kwacha  Appreciation Consistent with the broad goals set out in the Economic Recovery Progr… https://t.co/f8GDZx5eY9",0,1,4,6
1418663898899795975,Fri Jul 23 20:06:45 +0000 2021,"https://t.co/CgEnatMrSS
Team Zambia Commence Quest For Tokyo Olympic Honours",0,0,0,2
1418658844369162241,Fri Jul 23 19:46:40 +0000 2021,"https://t.co/ekgkiErwy6
Govenda Simwala Following Legendary Father  Into Coaching",0,0,0,1
1418634644791103491,Fri Jul 23 18:10:30 +0000 2021,"https://t.co/kckqLvwMnF
Rev. Sumaili’s CB Meaningless Campaign Among 700 Bikini Bottom Pastors https://t.co/Xn3ZcmVZFF",0,0,1,3
1418619060917571584,Fri Jul 23 17:08:35 +0000 2021,"https://t.co/sUxkXLuqcd
Ballot paper printing complete https://t.co/agXwYffYiX",0,0,0,3
